"","dose","auc","specificity","sensitivity","correction"
"1",10,0.946428571428571,1,0.785714285714286,"allcorrected"
"2",30,0.919642857142857,1,0.75,"allcorrected"
"3",50,0.892857142857143,1,0.75,"allcorrected"
"4",70,0.892857142857143,1,0.857142857142857,"allcorrected"
"5",90,0.892857142857143,1,0.857142857142857,"allcorrected"
"6",110,0.892857142857143,0.75,0.785714285714286,"allcorrected"
"7",130,0.892857142857143,0.5,0.857142857142857,"allcorrected"
"8",150,0.821428571428572,0.5,0.857142857142857,"allcorrected"
"9",170,0.678571428571429,0.5,0.857142857142857,"allcorrected"
"10",190,0.642857142857143,0.75,0.642857142857143,"allcorrected"
"11",210,0.607142857142857,0.5,0.642857142857143,"allcorrected"
"12",230,0.535714285714286,0.5,0.5,"allcorrected"
"13",250,0.580357142857143,0.75,0.5,"allcorrected"
"14",270,0.75,1,0.5,"allcorrected"
"15",290,0.892857142857143,1,0.535714285714286,"allcorrected"
"16",310,0.928571428571429,1,0.571428571428571,"allcorrected"
"17",330,0.964285714285714,1,0.642857142857143,"allcorrected"
"18",350,0.964285714285714,1,0.642857142857143,"allcorrected"
"19",370,0.696428571428571,1,0.642857142857143,"allcorrected"
"20",390,0.732142857142857,1,0.5,"allcorrected"
"21",410,0.767857142857143,0.5,0.785714285714286,"allcorrected"
"22",430,0.821428571428571,1,0.642857142857143,"allcorrected"
"23",444,0.857142857142857,1,0.642857142857143,"allcorrected"
"24",450,0.857142857142857,1,0.642857142857143,"allcorrected"
"25",470,0.857142857142857,1,0.714285714285714,"allcorrected"
"26",490,0.857142857142857,1,0.714285714285714,"allcorrected"
"27",510,0.857142857142857,1,0.714285714285714,"allcorrected"
"28",530,0.857142857142857,1,0.714285714285714,"allcorrected"
"29",550,0.857142857142857,1,0.714285714285714,"allcorrected"
"30",570,0.857142857142857,1,0.714285714285714,"allcorrected"
"31",590,0.857142857142857,0.75,0.75,"allcorrected"
"32",610,0.892857142857143,1,0.714285714285714,"allcorrected"
"33",630,0.892857142857143,1,0.714285714285714,"allcorrected"
"34",650,0.892857142857143,1,0.678571428571429,"allcorrected"
"35",670,0.892857142857143,1,0.714285714285714,"allcorrected"
"36",690,0.928571428571429,1,0.714285714285714,"allcorrected"
"37",710,0.928571428571429,1,0.714285714285714,"allcorrected"
"38",730,0.928571428571429,1,0.714285714285714,"allcorrected"
"39",750,0.928571428571429,1,0.714285714285714,"allcorrected"
"40",760,0.928571428571429,1,0.714285714285714,"allcorrected"
"41",770,0.928571428571429,1,0.714285714285714,"allcorrected"
"42",790,0.928571428571429,1,0.714285714285714,"allcorrected"
"43",810,0.928571428571429,1,0.714285714285714,"allcorrected"
"44",830,0.928571428571429,1,0.714285714285714,"allcorrected"
"45",850,0.928571428571429,1,0.714285714285714,"allcorrected"
"46",870,0.928571428571429,1,0.714285714285714,"allcorrected"
"47",890,0.928571428571429,1,0.714285714285714,"allcorrected"
"48",910,0.928571428571429,1,0.642857142857143,"allcorrected"
"49",916,0.928571428571429,1,0.714285714285714,"allcorrected"
"50",930,0.928571428571429,1,0.642857142857143,"allcorrected"
"51",950,0.928571428571429,1,0.714285714285714,"allcorrected"
"52",970,0.928571428571429,1,0.642857142857143,"allcorrected"
"53",990,0.928571428571429,1,0.642857142857143,"allcorrected"
"54",1010,0.928571428571429,1,0.642857142857143,"allcorrected"
"55",1030,0.928571428571429,1,0.642857142857143,"allcorrected"
"56",1050,0.928571428571429,1,0.642857142857143,"allcorrected"
"57",1070,0.928571428571429,1,0.642857142857143,"allcorrected"
"58",1090,0.928571428571429,1,0.642857142857143,"allcorrected"
"59",1110,0.928571428571429,1,0.642857142857143,"allcorrected"
"60",1130,0.928571428571429,1,0.642857142857143,"allcorrected"
"61",1150,0.928571428571429,1,0.714285714285714,"allcorrected"
"62",1170,0.928571428571429,1,0.642857142857143,"allcorrected"
"63",1190,0.928571428571429,1,0.642857142857143,"allcorrected"
"64",1210,0.928571428571429,1,0.642857142857143,"allcorrected"
"65",1230,0.928571428571429,1,0.642857142857143,"allcorrected"
"66",1250,0.928571428571429,1,0.642857142857143,"allcorrected"
"67",1270,0.928571428571429,1,0.642857142857143,"allcorrected"
"68",1290,0.928571428571429,1,0.642857142857143,"allcorrected"
"69",1310,0.928571428571429,1,0.642857142857143,"allcorrected"
"70",1330,0.928571428571429,1,0.642857142857143,"allcorrected"
"71",1350,0.928571428571429,1,0.642857142857143,"allcorrected"
"72",1370,0.928571428571429,1,0.642857142857143,"allcorrected"
"73",1390,0.928571428571429,1,0.642857142857143,"allcorrected"
"74",1410,0.928571428571429,1,0.642857142857143,"allcorrected"
"75",1430,0.928571428571429,1,0.642857142857143,"allcorrected"
"76",1450,0.928571428571429,1,0.642857142857143,"allcorrected"
"77",1470,0.928571428571429,1,0.642857142857143,"allcorrected"
"78",1490,0.928571428571429,1,0.642857142857143,"allcorrected"
"79",1510,0.928571428571429,1,0.642857142857143,"allcorrected"
"80",1530,0.928571428571429,1,0.642857142857143,"allcorrected"
"81",1550,0.928571428571429,1,0.642857142857143,"allcorrected"
"82",1570,0.928571428571429,1,0.642857142857143,"allcorrected"
"83",1590,0.928571428571429,1,0.642857142857143,"allcorrected"
"84",1610,0.928571428571429,1,0.642857142857143,"allcorrected"
"85",1630,0.928571428571429,1,0.642857142857143,"allcorrected"
"86",1650,0.928571428571429,1,0.642857142857143,"allcorrected"
"87",1670,0.928571428571429,1,0.642857142857143,"allcorrected"
"88",1690,0.910714285714286,1,0.642857142857143,"allcorrected"
"89",1710,0.928571428571429,1,0.642857142857143,"allcorrected"
"90",1730,0.928571428571429,1,0.642857142857143,"allcorrected"
"91",1750,0.928571428571429,1,0.642857142857143,"allcorrected"
"92",1770,0.928571428571429,1,0.642857142857143,"allcorrected"
"93",1790,0.928571428571429,1,0.642857142857143,"allcorrected"
"94",1810,0.892857142857143,1,0.642857142857143,"allcorrected"
"95",1830,0.928571428571429,1,0.642857142857143,"allcorrected"
"96",1850,0.928571428571429,1,0.642857142857143,"allcorrected"
"97",1870,0.928571428571429,1,0.642857142857143,"allcorrected"
"98",1890,0.910714285714286,1,0.642857142857143,"allcorrected"
"99",1910,0.928571428571429,1,0.642857142857143,"allcorrected"
"100",1930,0.901785714285714,1,0.642857142857143,"allcorrected"
"101",1950,0.928571428571429,1,0.642857142857143,"allcorrected"
"102",1970,0.919642857142857,1,0.642857142857143,"allcorrected"
"103",1990,0.910714285714286,1,0.642857142857143,"allcorrected"
"104",2010,0.928571428571429,1,0.642857142857143,"allcorrected"
"105",2030,0.910714285714286,1,0.642857142857143,"allcorrected"
"106",2050,0.910714285714286,1,0.642857142857143,"allcorrected"
"107",2070,0.910714285714286,1,0.642857142857143,"allcorrected"
"108",2090,0.946428571428571,1,0.642857142857143,"allcorrected"
"109",2110,0.892857142857143,1,0.642857142857143,"allcorrected"
"110",2130,0.919642857142857,1,0.642857142857143,"allcorrected"
"111",2150,0.928571428571429,1,0.642857142857143,"allcorrected"
"112",2170,0.928571428571429,1,0.642857142857143,"allcorrected"
"113",2190,0.928571428571429,1,0.642857142857143,"allcorrected"
"114",2210,0.928571428571429,1,0.642857142857143,"allcorrected"
"115",2230,0.919642857142857,1,0.642857142857143,"allcorrected"
"116",2250,0.928571428571429,1,0.642857142857143,"allcorrected"
"117",2270,0.910714285714286,1,0.642857142857143,"allcorrected"
"118",2290,0.928571428571429,1,0.642857142857143,"allcorrected"
